Time resolution is 1 ps
[                   0] Data out value:   x 
[               25000] Data out value: 144 
[               30000] Data out value:   x 
[               35000] Data out value:  37 
[               40000] Data out value:   x 
[               45000] Data out value:  96 
[               50000] Data out value:   x 
[               55000] Data out value:  21 
[               60000] Data out value:   x 
[               65000] Data out value:  48 
[               70000] Data out value:   x 
[               75000] Data out value: 117 
[               80000] Data out value:   x 
[               85000] Data out value:  69 
[               90000] Data out value:   x 
[               95000] Data out value:  16 
Initial Array : '{144,37,96,21,48,117,69,16}
[              105000] Data out value: 144 
[              125000] Data out value:  37 
[              135000] Data out value: 144 
[              155000] Data out value:  37 
[              175000] Data out value:  96 
[              185000] Data out value:  37 
[              195000] Data out value:  21 
[              205000] Data out value:  37 
[              225000] Data out value:  21 
[              245000] Data out value:  48 
[              255000] Data out value:  21 
[              265000] Data out value: 117 
[              275000] Data out value:  21 
[              285000] Data out value:  69 
[              295000] Data out value:  21 
[              305000] Data out value:  16 
[              315000] Data out value:  21 
[              335000] Data out value:  16 
[              355000] Data out value: 144 
[              365000] Data out value:  96 
[              375000] Data out value: 144 
[              395000] Data out value:  96 
[              415000] Data out value:  37 
[              425000] Data out value:  96 
[              445000] Data out value:  37 
[              465000] Data out value:  48 
[              475000] Data out value:  37 
[              485000] Data out value: 117 
[              495000] Data out value:  37 
[              505000] Data out value:  69 
[              515000] Data out value:  37 
[              525000] Data out value:  21 
[              535000] Data out value:  37 
[              555000] Data out value:  21 
[              575000] Data out value: 144 
[              585000] Data out value:  96 
[              595000] Data out value: 144 
[              615000] Data out value:  96 
[              635000] Data out value:  48 
[              645000] Data out value:  96 
[              665000] Data out value:  48 
[              685000] Data out value: 117 
[              695000] Data out value:  48 
[              705000] Data out value:  69 
[              715000] Data out value:  48 
[              725000] Data out value:  37 
[              735000] Data out value:  48 
[              755000] Data out value:  37 
[              775000] Data out value: 144 
[              785000] Data out value:  96 
[              795000] Data out value: 144 
[              815000] Data out value:  96 
[              835000] Data out value: 117 
[              845000] Data out value:  96 
[              855000] Data out value:  69 
[              865000] Data out value:  96 
[              885000] Data out value:  69 
[              905000] Data out value:  48 
[              915000] Data out value:  69 
[              935000] Data out value:  48 
[              955000] Data out value: 144 
[              965000] Data out value: 117 
[              975000] Data out value: 144 
[              995000] Data out value: 117 
